tanggal,jenis_kejadian_bencana,kelurahan,kecamatan,wilayah,taksiran_kerugian,keterangan_jkb
2/16/2020,Bantuan Operasi,Petojo Utara,Gambir,Jakarta Pusat,0,Kesiagaan/Penjagaan
2/16/2020,Bantuan Operasi,Rawa Terate,Cakung,Jakarta Timur,0,Kerja Bakti
2/17/2020,Penyelamatan,Jatinegara,Cakung,Jakarta Timur,0,Pengendalian Hewan
2/17/2020,Kebakaran,Pulo,Kebayoran Baru,Jakarta Selatan,"2,000,000",Bencana Kebakaran
2/16/2020,Kebakaran,Duri Kepa,Kebun Jeruk,Jakarta Barat,"700,000",Bencana Kebakaran
2/17/2020,Penyelamatan,Sukapura,Cilincing,Jakarta Utara,0,Pengendalian Hewan
2/17/2020,Kebakaran,Kebon Melati,Tanah Abang,Jakarta Pusat,"15,000,000",Bencana Kebakaran
2/17/2020,Bantuan Operasi,Kebon Kosong,Kemayoran,Jakarta Pusat,0,Kerja Bakti
2/17/2020,Penyelamatan,Pondok Labu,Cilandak,Jakarta Selatan,0,Pengendalian Hewan
2/17/2020,Penyelamatan,Bungur,Senen,Jakarta Pusat,0,Pengendalian Hewan
2/17/2020,Penyelamatan,Duri Pulo,Gambir,Jakarta Pusat,0,Pengendalian Hewan
2/17/2020,Penyelamatan,Jatipadang,Pasar Minggu,Jakarta Selatan,0,Pengendalian Hewan
2/17/2020,Penyelamatan,Tanah Tinggi,Johar Baru,Jakarta Pusat,0,Pengendalian Hewan
2/17/2020,Penyelamatan,Jatinegara,Cakung,Jakarta Timur,0,Evakuasi Banjir / Penyelamatan Air 
2/17/2020,Penyelamatan,Halim Perdana Kusuma,Makasar,Jakarta Timur,0,Pengendalian Hewan
2/17/2020,Penyelamatan,Gunung,Kebayoran Baru,Jakarta Selatan,0,Pengendalian Hewan
2/17/2020,Penyelamatan,Menteng,Menteng,Jakarta Pusat,0,Pengendalian Hewan
2/17/2020,Penyelamatan,Pulo Gebang,Cakung,Jakarta Timur,0,Pengendalian Hewan
2/18/2020,Kebakaran,Kalibaru,Cilincing,Jakarta Utara,"50,000,000",Bencana Kebakaran
2/18/2020,Penyelamatan,Kebon Jeruk,Kebun Jeruk,Jakarta Barat,0,Pengendalian Hewan
2/18/2020,Kebakaran,Cipete Utara,Kebayoran Baru,Jakarta Selatan,"5,000,000",Bencana Kebakaran
2/18/2020,Penyelamatan,Rawa Badak Selatan,Koja,Jakarta Utara,0,Pengendalian Hewan
2/18/2020,Kebakaran,Bendungan Hilir,Tanah Abang,Jakarta Pusat,0,Bencana Kebakaran
2/18/2020,Penyelamatan,Klender,Duren Sawit,Jakarta Timur,0,Pengendalian Hewan
2/18/2020,Bantuan Operasi,Gambir,Gambir,Jakarta Pusat,0,Kesiagaan/Penjagaan
2/18/2020,Penyelamatan,penjaringan,Penjaringan,Jakarta Utara,0,Pengendalian Hewan
2/18/2020,Penyelamatan,Tugu Utara,Koja,Jakarta Utara,0,Pengendalian Hewan
2/18/2020,Kebakaran,Warakas,Tanjung Priok,Jakarta Utara,"2,000,000",Bencana Kebakaran
2/18/2020,Penyelamatan,Kelapa Dua,Kebun Jeruk,Jakarta Barat,0,Pengendalian Hewan
2/18/2020,Penyelamatan,Kalideres,Kalideres,Jakarta Barat,0,Pengendalian Hewan
2/18/2020,Penyelamatan,Tegal Alur,Kalideres,Jakarta Barat,0,Pengendalian Hewan
2/18/2020,Penyelamatan,Kenari,Senen,Jakarta Pusat,0,Pengendalian Hewan
2/18/2020,Penyelamatan,Srengseng sawah,Jagakarsa,Jakarta Selatan,0,Pengendalian Hewan
2/18/2020,Penyelamatan,Gelora,Tanah Abang,Jakarta Pusat,0,Pengendalian Hewan
2/18/2020,Kebakaran,Lubang Buaya,Cipayung,Jakarta Timur,0,Bencana Kebakaran
2/19/2020,Penyelamatan,Kebon Baru,Tebet,Jakarta Selatan,0,Pengendalian Hewan
2/19/2020,Kebakaran,Angke,Tambora,Jakarta Barat,"25,000,000",Bencana Kebakaran
2/18/2020,Kebakaran,Petojo Utara,Gambir,Jakarta Pusat,"450,000,000",Bencana Kebakaran
2/19/2020,Penyelamatan,Duren Sawit,Duren Sawit,Jakarta Timur,0,Pengendalian Hewan
2/19/2020,Penyelamatan,Cilangkap,Cipayung,Jakarta Timur,0,Pengendalian Hewan
2/19/2020,Penyelamatan,Kelapa Gading Barat,Kelapa Gading,Jakarta Utara,0,Pengendalian Hewan
2/19/2020,Kebakaran,Tomang,Grogol Petamburan,Jakarta Barat,"500,000",Bencana Kebakaran
2/19/2020,Penyelamatan,Pondok Ranggon,Cipayung,Jakarta Timur,0,Pengendalian Hewan
2/19/2020,Penyelamatan,Kelapa dua wetan,Ciracas,Jakarta Timur,0,Pengendalian Hewan
2/19/2020,Penyelamatan,Lenteng Agung,Jagakarsa,Jakarta Selatan,0,Pengendalian Hewan
2/19/2020,Penyelamatan,Pondok Ranggon,Cipayung,Jakarta Timur,0,Pengendalian Hewan
2/19/2020,Penyelamatan,Kalideres,Kalideres,Jakarta Barat,0,Pengendalian Hewan
2/19/2020,Penyelamatan,Pesanggrahan,Pesanggrahan,Jakarta Selatan,0,Pengendalian Hewan
2/19/2020,Penyelamatan,Pekayon,Pasar Rebo,Jakarta Timur,0,Pengendalian Hewan
2/19/2020,Bantuan Operasi,Kebon Kacang,Tanah Abang,Jakarta Pusat,0,Kerja Bakti
2/19/2020,Bantuan Operasi,Gunung Sahari Utara,Sawah Besar,Jakarta Pusat,0,Kerja Bakti
2/19/2020,Bantuan Operasi,Pegangsaan,Menteng,Jakarta Pusat,0,Kerja Bakti
2/19/2020,Bantuan Operasi,Cempaka Baru,Kemayoran,Jakarta Pusat,0,Kerja Bakti
2/19/2020,Bantuan Operasi,Kwitang,Senen,Jakarta Pusat,0,Kerja Bakti
2/19/2020,Penyelamatan,Cilandak Timur,Pasar Minggu,Jakarta Selatan,0,Pengendalian Hewan
2/19/2020,Penyelamatan,Ragunan,Pasar Minggu,Jakarta Selatan,0,Pengendalian Hewan
2/20/2020,Kebakaran,Cikoko,Pancoran,Jakarta Selatan,0,Bencana Kebakaran
2/20/2020,Kebakaran,Gunung,Kebayoran Baru,Jakarta Selatan,"2,500,000",Bencana Kebakaran
2/20/2020,Penyelamatan,Bintaro,Pesanggrahan,Jakarta Selatan,0,Pohon Tumbang
2/20/2020,Bantuan Operasi,Ragunan,Pasar Minggu,Jakarta Selatan,0,Kesiagaan/Penjagaan
2/20/2020,Kebakaran,Rorotan,Cilincing,Jakarta Utara,"700,000,000",Bencana Kebakaran
2/20/2020,Kebakaran,Pulo,Kebayoran Baru,Jakarta Selatan,0,Bencana Kebakaran
2/20/2020,Penyelamatan,Kebagusan,Pasar Minggu,Jakarta Selatan,0,Pengendalian Hewan
2/20/2020,Penyelamatan,Lenteng Agung,Jagakarsa,Jakarta Selatan,0,Pengendalian Hewan
2/20/2020,Penyelamatan,Gandaria Selatan,Cilandak,Jakarta Selatan,0,Pengendalian Hewan
2/20/2020,Penyelamatan,Cilandak Timur,Pasar Minggu,Jakarta Selatan,0,Pengendalian Hewan
2/20/2020,Penyelamatan,Lenteng Agung,Jagakarsa,Jakarta Selatan,0,Pengendalian Hewan
2/20/2020,Penyelamatan,Bangka,Mampang Prapatan,Jakarta Selatan,0,Pengendalian Hewan
2/20/2020,Penyelamatan,Cilandak Barat,Cilandak,Jakarta Selatan,0,Pertolongan Gawat Darurat (Ambulan).
2/20/2020,Penyelamatan,Pondok Kelapa,Duren Sawit,Jakarta Timur,0,Pengendalian Hewan
2/20/2020,Penyelamatan,Bidara Cina,Jatinegara,Jakarta Timur,0,Pengendalian Hewan
2/20/2020,Kebakaran,Lubang Buaya,Cipayung,Jakarta Timur,"150,000,000",Bencana Kebakaran
2/20/2020,Penyelamatan,Bangka,Mampang Prapatan,Jakarta Selatan,0,Pohon Tumbang
2/20/2020,Penyelamatan,Cengkareng Barat,Cengkareng,Jakarta Barat,0,Pohon Tumbang
2/20/2020,Penyelamatan,Kemanggisan,Palmerah,Jakarta Barat,0,Pohon Tumbang
2/20/2020,Penyelamatan,Tegal Alur,Kalideres,Jakarta Barat,0,Pohon Tumbang
2/20/2020,Penyelamatan,Kebon Jeruk,Kebun Jeruk,Jakarta Barat,0,Pohon Tumbang
2/20/2020,Penyelamatan,Gambir,Gambir,Jakarta Pusat,0,Pohon Tumbang
2/20/2020,Kebakaran,Rorotan,Cilincing,Jakarta Utara,0,Bencana Kebakaran
2/21/2020,Penyelamatan,Pondok Pinang,Kebayoran Lama,Jakarta Selatan,0,Pengendalian Hewan
2/21/2020,Bantuan Operasi,Rawajati,Pancoran,Jakarta Selatan,0,Kerja Bakti
2/21/2020,Bantuan Operasi,Kebon Baru,Tebet,Jakarta Selatan,0,Kerja Bakti
